"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
362,11/21/22 04h1min0s,25.319,86.1,,,,
363,11/21/22 04h2min0s,25.319,96.9,,,,
364,11/21/22 04h3min0s,25.319,96.9,,,,
365,11/21/22 04h4min0s,25.319,75.3,,,,
366,11/21/22 04h5min0s,25.416,2066.7,,,,
367,11/21/22 04h6min0s,25.416,452.1,,,,
368,11/21/22 04h7min0s,25.513,1237.9,,,,
369,11/21/22 04h8min0s,25.513,2325.0,,,,
370,11/21/22 04h9min0s,25.610,2669.5,,,,
371,11/21/22 04h10min0s,25.708,2669.5,,,,
372,11/21/22 04h11min0s,25.708,2583.4,,,,
373,11/21/22 04h12min0s,25.805,2497.2,,,,
374,11/21/22 04h13min0s,25.902,2411.1,,,,
375,11/21/22 04h14min0s,25.902,2152.8,,,,
376,11/21/22 04h15min0s,26.000,1980.6,,,,
377,11/21/22 04h16min0s,26.097,2583.4,,,,
378,11/21/22 04h17min0s,26.195,2927.8,,,,
379,11/21/22 04h18min0s,26.292,2669.5,,,,
380,11/21/22 04h19min0s,26.292,2152.8,,,,
381,11/21/22 04h20min0s,26.390,1722.2,,,,
382,11/21/22 04h21min0s,26.488,1980.6,,,,
383,11/21/22 04h22min0s,26.488,2583.4,,,,
384,11/21/22 04h23min0s,26.488,688.9,,,,
385,11/21/22 04h24min0s,26.292,473.6,,,,
386,11/21/22 04h25min0s,26.292,516.7,,,,
387,11/21/22 04h26min0s,26.292,312.2,,,,
388,11/21/22 04h27min0s,26.292,452.1,,,,
389,11/21/22 04h28min0s,26.292,495.1,,,,
390,11/21/22 04h29min0s,26.292,226.0,,,,
391,11/21/22 04h30min0s,26.488,871.9,,,,
392,11/21/22 04h31min0s,26.488,495.1,,,,
393,11/21/22 04h32min0s,26.585,419.8,,,,
394,11/21/22 04h33min0s,26.585,398.3,,,,
395,11/21/22 04h34min0s,26.683,387.5,,,,
396,11/21/22 04h35min0s,26.585,10.8,,,,
397,11/21/22 04h36min0s,26.488,10.8,,,,
398,11/21/22 04h37min0s,26.390,10.8,,,,
399,11/21/22 04h38min0s,26.390,10.8,,,,
400,11/21/22 04h39min0s,26.390,258.3,,,,
401,11/21/22 04h40min0s,26.390,301.4,,,,
402,11/21/22 04h41min0s,26.390,301.4,,,,
403,11/21/22 04h42min0s,26.488,344.4,,,,
404,11/21/22 04h43min0s,26.488,269.1,,,,
405,11/21/22 04h44min0s,26.488,204.5,,,,
406,11/21/22 04h45min0s,26.585,172.2,,,,
407,11/21/22 04h46min0s,26.585,312.2,,,,
408,11/21/22 04h47min0s,26.585,247.6,,,,
409,11/21/22 04h48min0s,26.585,53.8,,,,
410,11/21/22 04h49min0s,26.585,86.1,,,,
411,11/21/22 04h50min0s,26.585,75.3,,,,
412,11/21/22 04h51min0s,26.683,107.6,,,,
413,11/21/22 04h52min0s,26.683,96.9,,,,
414,11/21/22 04h53min0s,26.683,64.6,,,,
415,11/21/22 04h54min0s,26.683,64.6,,,,
416,11/21/22 04h55min0s,26.683,64.6,,,,
417,11/21/22 04h56min0s,26.781,75.3,,,,
418,11/21/22 04h57min0s,26.781,75.3,,,,
419,11/21/22 04h58min0s,26.781,64.6,,,,
420,11/21/22 04h59min0s,26.781,43.1,,,,
421,11/21/22 05h0min0s,26.781,785.8,,,,
422,11/21/22 05h1min0s,26.781,0.0,,,,
423,11/21/22 05h2min0s,26.683,0.0,,,,
424,11/21/22 05h3min0s,26.683,0.0,,,,
425,11/21/22 05h4min0s,26.683,0.0,,,,
426,11/21/22 05h5min0s,26.683,0.0,,,,
427,11/21/22 05h6min0s,26.683,0.0,,,,
428,11/21/22 05h7min0s,26.585,0.0,,,,
429,11/21/22 05h8min0s,26.585,0.0,,,,
430,11/21/22 05h9min0s,26.585,0.0,,,,
431,11/21/22 05h10min0s,26.585,0.0,,,,
432,11/21/22 05h11min0s,26.585,0.0,,,,
433,11/21/22 05h12min0s,26.585,441.3,,,,
434,11/21/22 05h13min0s,26.683,441.3,,,,
435,11/21/22 05h14min0s,26.683,441.3,,,,
436,11/21/22 05h15min0s,26.683,441.3,,,,
437,11/21/22 05h16min0s,26.781,430.6,,,,
438,11/21/22 05h17min0s,26.781,430.6,,,,
439,11/21/22 05h18min0s,26.781,419.8,,,,
440,11/21/22 05h19min0s,26.781,419.8,,,,
441,11/21/22 05h20min0s,26.781,398.3,,,,
442,11/21/22 05h21min0s,26.781,398.3,,,,
443,11/21/22 05h22min0s,26.781,398.3,,,,
444,11/21/22 05h23min0s,26.781,398.3,,,,
445,11/21/22 05h24min0s,26.781,387.5,,,,
446,11/21/22 05h25min0s,26.781,366.0,,,,
447,11/21/22 05h26min0s,26.781,355.2,,,,
448,11/21/22 05h27min0s,26.781,355.2,,,,
449,11/21/22 05h28min0s,26.683,333.7,,,,
450,11/21/22 05h29min0s,26.683,312.2,,,,
451,11/21/22 05h30min0s,26.683,312.2,,,,
452,11/21/22 05h31min0s,26.683,322.9,,,,
